"Pitch Type","#","Usage","Velocity (km)","Spin Rate (rpm)","HorzBreak (cm)","InducedVertBreak (cm)","Zone%","CStr%","Swing%","Contact%","SwStr%","CSW%","GB%","LD%","Hard%","xwOBAcon","wOBA","PitchValue","PV/C"
"Sinker",114,55.1,149.2,1934.2,-44.2,11.7,53.5,14,55.3,82.5,9.6,23.7,41.2,35.3,55.9,0.539,0.41,-2.7,-0.02
"Slider",61,29.5,144.3,2162.8,-5.9,14.2,47.5,13.1,47.5,72.4,13.1,26.2,53.8,15.4,23.1,0.24,0.156,1.87,0.03
"Changeup",24,11.6,137,1694.4,-39.4,15.3,50,8.3,45.8,72.7,12.5,20.8,20,0,80,0.776,0.356,-0.27,-0.01
"Curveball",7,3.4,129.9,2537.3,28.5,-24.1,28.6,14.3,0,NA,0,14.3,NA,NA,NA,NA,NA,-0.17,-0.02
"4-Seam Fastball",1,0.5,152,2039,-26.5,33.5,0,0,0,NA,0,0,NA,NA,NA,NA,NA,-0.03,-0.03
