"Pitch Type","#","Usage","Velocity (km)","Spin Rate (rpm)","HorzBreak (cm)","InducedVertBreak (cm)","Zone%","CStr%","Swing%","Contact%","SwStr%","CSW%","GB%","LD%","Hard%","xwOBAcon","wOBA","PitchValue","PV/C"
"4-Seam Fastball",294,63.8,129.7,2021.5,-30,15.8,61.9,17.7,55.8,73.2,15,32.7,22.2,44.4,32.7,0.454,0.341,-2.47,-0.01
"Slider",79,17.1,112.7,2020.8,18.4,28.3,43,19,39.2,80.6,7.6,26.6,6.2,43.8,25,0.479,0.333,-0.64,-0.01
"Sinker",53,11.5,127.1,1919.1,-36.9,-12.7,43.4,11.3,52.8,82.1,7.5,18.9,50,25,12.5,0.249,0.423,0.05,0
"Curveball",23,5,95.7,1752,25.7,35.1,47.8,39.1,17.4,75,4.3,43.5,0,100,0,0.751,0.9,0.06,0
"Changeup",12,2.6,113.5,1507.6,-32.9,-8.8,16.7,0,16.7,100,0,0,0,0,0,0.008,0,0.05,0
