"plate_x","plate_z","lp","prob"
-45.72,30.48,-9.357723600756888,8.628887375806292e-5
-43.85387755102041,30.48,-9.010819609946283,1.220668534460795e-4
-41.987755102040815,30.48,-8.677438863653144,1.7035786657412322e-4
-40.121632653061226,30.48,-8.360302294691612,2.3391886326494266e-4
-38.25551020408163,30.48,-8.062389769303374,3.150734119879725e-4
-36.38938775510204,30.48,-7.786509168950815,4.1512769642445483e-4
-34.52326530612245,30.48,-7.5348970183214785,5.338311369266152e-4
-32.65714285714286,30.48,-7.309372568665477,6.687892421354778e-4
-30.791020408163263,30.48,-7.111440589233795,8.150541740177821e-4
-28.924897959183674,30.48,-6.942040069483659,9.653634463466913e-4
-27.058775510204082,30.48,-6.801329872921369,0.0011110591274291364
-25.19265306122449,30.48,-6.688881180501612,0.0012431272715137246
-23.3265306122449,30.48,-6.60319434462108,0.0013541931604717124
-21.460408163265306,30.48,-6.5418838342581775,0.0014396941759105117
-19.594285714285714,30.48,-6.501802405512097,0.0014984830053704735
-17.728163265306122,30.48,-6.478996437798799,0.0015329970382670396
-15.86204081632653,30.48,-6.46900522571176,0.0015483664730401867
-13.995918367346938,30.48,-6.4674813835467155,0.0015507240761291113
-12.12979591836735,30.48,-6.471138618598305,0.0015450718184623516
-10.263673469387754,30.48,-6.477452252734067,0.0015353624606949587
-8.397551020408166,30.48,-6.4843846424067495,0.0015247717111040596
-6.53142857142857,30.48,-6.490419307710918,0.001515611836232396
-4.665306122448982,30.48,-6.493573134195437,0.0015108465996092214
-2.7991836734693862,30.48,-6.492539110484676,0.0015124072948152821
-0.9330612244897978,30.48,-6.4873587699976865,0.001520250466331861
0.9330612244897978,30.48,-6.479440156619767,0.0015323180116010734
2.7991836734693862,30.48,-6.470694707625028,0.0015457567846229108
4.665306122448982,30.48,-6.463197470387346,0.001557371125053174
6.53142857142857,30.48,-6.4596878518379,0.001562837949138008
8.397551020408166,30.48,-6.462633887289819,0.0015582477124009857
10.263673469387754,30.48,-6.4750252237084895,0.0015390876134414263
12.12979591836735,30.48,-6.500232199253449,0.0015008342468939583
13.995918367346938,30.48,-6.542067664599735,0.0014394299216868957
15.862040816326527,30.48,-6.60382667678285,0.001353338289756133
17.728163265306122,30.48,-6.687603146737882,0.0012447150669995333
19.594285714285718,30.48,-6.79447132996959,0.0011186970118683163
21.4604081632653,30.48,-6.924896961551574,9.820390514701253e-4
23.326530612244895,30.48,-7.07903783822938,8.418741108831105e-4
25.19265306122449,30.48,-7.255310681013841,7.05914209249995e-4
27.058775510204086,30.48,-7.451418317984533,5.802806065522248e-4
28.924897959183667,30.48,-7.665288985682122,4.686015626981961e-4
30.791020408163263,30.48,-7.893883409159816,3.728790857431879e-4
32.65714285714286,30.48,-8.13402965543444,2.9329753218245574e-4
34.523265306122454,30.48,-8.382562451562732,2.2877049819381657e-4
36.389387755102035,30.48,-8.635829697278577,1.775945690371774e-4
38.25551020408163,30.48,-8.889684577165267,1.377841302944212e-4
40.121632653061226,30.48,-9.141362881695308,1.0712973116023126e-4
41.98775510204082,30.48,-9.389671824261296,8.357589609662756e-5
43.8538775510204,30.48,-9.634326841384619,6.543899112929674e-5
45.72,30.48,-9.875423145466904,5.1420451926484725e-5
-45.72,32.34612244897959,-8.989053740283085,1.247525352865826e-4
-43.85387755102041,32.34612244897959,-8.618223171073623,1.8074851080760566e-4
